Country Name,Country Code,Series Name,Series Code,Year,Value
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,308.318269746638
Afghanistan,AFG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,0.0501382814099344
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,2000,1.85278199408184
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,45.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,4.4
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,6.2
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2000,20130327.0
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,1991.91435867116
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,7.46285871776054
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,21.712185305831
Albania,ALB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,1.04657550743325
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,2000,28.0766423357664
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2000,581.374748988005
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,41.4
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,99.4
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,36.6
Albania,ALB,"Population, total",SP.POP.TOTL,2000,3089027.0
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,3553.32420521991
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.80000000158476
Algeria,DZA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,53.3309696535528
Algeria,DZA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,2.84556706172908
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,2000,0.662960692602887
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2000,873.657787057718
Algeria,DZA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,0.4
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,98.6
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,96.5
Algeria,DZA,"Population, total",SP.POP.TOTL,2000,30903893.0
American Samoa,ASM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,0.0017588602585524
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,2000,88.65
American Samoa,ASM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,0.0
American Samoa,ASM,"Population, total",SP.POP.TOTL,2000,56855.0
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,34113.8334027285
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.52836236122388
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,14.8437550367806
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,2000,34.0425531914894
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,14.5
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,100.0
Andorra,AND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,100.0
Andorra,AND,"Population, total",SP.POP.TOTL,2000,65685.0
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,2172.46326720494
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.05462423430785
Angola,AGO,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,1.0195821898899
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,2000,62.3314430095452
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2000,428.222669261961
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,73.8
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,24.2
Angola,AGO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,40.3
Angola,AGO,"Population, total",SP.POP.TOTL,2000,16194869.0
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,15961.0918359058
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,6.20355212555867
Antigua and Barbuda,ATG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,13.0989719284255
Antigua and Barbuda,ATG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,1.81145877829987
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,2000,21.4772727272727
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,0.0
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,97.7
Antigua and Barbuda,ATG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,100.0
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2000,74912.0
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,10631.6503639029
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,-0.78899893905691
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,25.9908360111364
Argentina,ARG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,3.67485781688948
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,2000,12.1964855354461
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2000,1643.32131961789
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,9.8
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,95.7
Argentina,ARG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,95.8
Argentina,ARG,"Population, total",SP.POP.TOTL,2000,37213984.0
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,1229.21510436102
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.90000000312092
Armenia,ARM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,1.10822389866816
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,2000,11.6838777660695
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2000,625.503227341883
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,7.2
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,98.9
Armenia,ARM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,79.3
Armenia,ARM,"Population, total",SP.POP.TOTL,2000,3221100.0
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,28104.8954362859
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,7.62292064930222
Aruba,ABW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,13.1759545308158
Aruba,ABW,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,2.9683843334658
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2000,2.33333333333333
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,0.2
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,91.7
Aruba,ABW,"Population, total",SP.POP.TOTL,2000,90588.0
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,45979.0765654048
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.9160574881715
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,24.5324572225662
Australia,AUS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,18.5978917642845
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,2000,17.1581557606446
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2000,5681.22885913159
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,8.4
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,100.0
Australia,AUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,100.0
Australia,AUS,"Population, total",SP.POP.TOTL,2000,19028802.0
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2000,38571.0858780001
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.18952292988787
Austria,AUT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,28.6115523176599
